ID,Name,Address,City,State,County,Type,Ownership,Emergency Services,Can.use.EHRs,Overall rating,Mortality national comparison,Readmission,Patient.experience,Effectiveness.of.care,Timeliness.of.care
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,ETOWAH,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,BUTLER,Acute Care Hospitals,Proprietary,Yes,Y,3,NA,Same as the national average,Same as the national average,Same as the national average,Above the national average
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,COFFEE,Acute Care Hospitals,Proprietary,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,GREENE,Acute Care Hospitals,Government - Local,No,Y,3,Same as the national average,Same as the national average,NA,Same as the national average,Above the national average
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,TALLAPOOSA,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Proprietary,Yes,Y,4,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,BIBB,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,NA,NA,NA,NA,Same as the national average,Same as the national average
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,LAWRENCE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,NA,Same as the national average,Above the national average
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,JACKSON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,GENEVA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,TALLAPOOSA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,BARBOUR,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,CLAY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,CALHOUN,Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,LIMESTONE,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,BALDWIN,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,MORGAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,MARION,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,MOBILE,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,WALKER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,MOBILE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,CLARKE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,TUSCALOOSA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,HALE,Acute Care Hospitals,Government - Local,Yes,Y,NA,NA,NA,NA,Below the national average,Same as the national average
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,ELMORE,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,ESCAMBIA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,BALDWIN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,WILCOX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,NA,NA,NA,NA,Same as the national average,Same as the national average
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,AUTAUGA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,PICKENS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,NA,Below the national average,Same as the national average
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,BULLOCK,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,NA,Same as the national average,Above the national average
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,MARENGO,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,MOBILE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,JEFFERSON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,DALLAS,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,MONROE,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,WINSTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,PIKE,Acute Care Hospitals,Government - Federal,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,CLARKE,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,NA,Same as the national average,Same as the national average
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,BALDWIN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,SAINT CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,MADISON,Acute Care Hospitals,Proprietary,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,SUMTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,NA,NA,NA,NA,Same as the national average,Same as the national average
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,MOBILE,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,CALHOUN,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,CONECUH,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,BUTLER,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,FRANKLIN,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,RUSSELL,Acute Care Hospitals,Government - State,Yes,Y,4,NA,Same as the national average,Above the national average,Same as the national average,Same as the national average
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,ESCAMBIA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10172,NORTH ALABAMA SPECIALITY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",ATHENS,AL,LIMESTONE,Acute Care Hospitals,Proprietary,No,,NA,NA,NA,NA,NA,NA
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,WASHINGTON,Critical Access Hospitals,Proprietary,Yes,Y,NA,NA,NA,NA,Same as the national average,Above the national average
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,FRANKLIN,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,NA,NA,Same as the national average,NA,NA,NA
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,CHOCTAW,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,NA,NA,NA,NA,NA,Same as the national average
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,BLOUNT,Critical Access Hospitals,Voluntary non-profit - Private,No,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
13300,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,JEFFERSON,Childrens,Voluntary non-profit - Private,Yes,Y,NA,NA,NA,NA,NA,NA
13301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,MOBILE,Childrens,Government - State,Yes,Y,NA,NA,NA,NA,NA,NA
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,MATANUSKA SUSITNA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,JUNEAU,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,FAIRBANKS NORTH STAR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,ANCHORAGE,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,BETHEL,Acute Care Hospitals,Tribal,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,NA,NA
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,ANCHORAGE,Acute Care Hospitals,Government - Federal,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,NA
21303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,SITKA,Critical Access Hospitals,Government - Local,Yes,Y,NA,NA,NA,NA,NA,NA
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,KODIAK ISLAND,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,NA,NA,Same as the national average,NA,NA,NA
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,NOME,Critical Access Hospitals,Tribal,Yes,Y,NA,NA,NA,NA,NA,NA
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,DILLINGHAM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,NA,NA,NA,NA,NA,NA
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,NORTHWEST ARCTIC,Critical Access Hospitals,Tribal,Yes,Y,NA,NA,NA,NA,NA,NA
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,KETCHIKAN GATEWAY,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,3,NA,Same as the national average,Same as the national average,Same as the national average,Same as the national average
21314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,SITKA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,NA,NA,NA,NA,NA,NA
30001,ABRAZO MARYVALE CAMPUS,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,MARICOPA,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,YAVAPAI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Above the national average,Below the national average
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,PIMA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,YAVAPAI,Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,YUMA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average
30014,JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,PINAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,MARICOPA,Acute Care Hospitals,Government - Local,Yes,Y,2,NA,Same as the national average,Below the national average,Same as the national average,Same as the national average
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,COCONINO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
